discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link
NLT,Pelizzari Umberto,IT,150,10/24/1999,WR Attempt - PELIZZARI Umberto (NLT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,Umberto Pelizzari - record in apnea a -150m,https://www.youtube.com/watch?v=mAMbf4fxFjM
NLT,Leferme Loic,FR,137,6/5/1999,WR Attempt - LEFERME Loic (NLT),Men,https://en.wikipedia.org/wiki/Lo%C3%AFc_Leferme,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000034,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,133,11/26/1996,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Pelizzari Umberto,IT,131,9/16/1996,WR Attempt - PELIZZARI Umberto (NLT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,130,3/10/1996,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,128,7/30/1995,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,127,12/10/1994,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,126,7/30/1994,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Ferreras Francisco Pipin,CU,125,11/6/1993,WR Attempt - FERRERAS Francisco Pipin (NLT),Men,https://en.wikipedia.org/wiki/Francisco_Ferreras,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0a,not_found,not_found
NLT,Pelizzari Umberto,IT,123,10/11/1993,WR Attempt - PELIZZARI Umberto (NLT),Men,https://en.wikipedia.org/wiki/Umberto_Pelizzari,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000a2,not_found,not_found
VWT,Boudhiaf Walid,CO,150,1/17/2021,AIDA WR Attempt Sharm VWT,Men,None,https://athletes.aidainternational.org/Profile-a4fceb1b-f8f4-4af6-9103-a7e6935a73df,FREEDIVING WORLD RECORD 150m VWT WALID BOUDHIAF,https://www.youtube.com/watch?v=ktJt33Ky6_s
VWT,Kastrinakis Stavros,GR,146,11/1/2015,WR Attempt Stavros Kastrinakis,Men,None,https://athletes.aidainternational.org/Profile-ca7a2d6a-8d19-4665-85cd-f990e1ad08f5,STAVROS KASTRINAKHS KASTRINAKHS 146 m WR 1-11-2015,https://www.youtube.com/watch?v=P3kmJANBuxE
VWT,Winram William,CA,145,8/31/2013,William Winram VWT WR attempt,Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000048e,William Winram 145m Freediving World Record (VWT),https://www.youtube.com/watch?v=YtryV9qItsg
